date,open_sandp_500,high_sandp_500,low_sandp_500,close_sandp_500,volume_sandp_500,value_fed_rate,open_gold_price,high_gold_price,low_gold_price,close_gold_price,volume_gold_price,value_oil_price,open_dow_jone,high_dow_jone,low_dow_jone,close_dow_jone,volume_dow_jone
2010-01-04,1116.56,1133.87,1116.56,1132.99,3.9914E9,0.12,1118.1,1126.5,1115.0,1118.1,53.0,0.12,10430.69,10604.97,10430.69,10583.96,1.7978E8
2010-01-05,1132.66,1136.63,1129.66,1136.52,2.49102E9,0.12,1135.9,1139.2,1120.7,1135.9,363.0,0.12,10584.56,10584.56,10522.52,10572.02,1.8854E8
2010-01-06,1135.71,1139.19,1133.95,1137.14,4.97266E9,0.12,1133.1,1133.1,1129.2,1133.1,56.0,0.12,10564.72,10594.99,10546.55,10573.68,1.8604E8
2010-01-07,1136.27,1142.46,1131.32,1141.69,5.27068E9,0.1,1138.2,1138.2,1122.7,1138.2,54.0,0.1,10571.11,10612.37,10505.21,10606.86,2.1739E8
2010-01-08,1140.52,1145.39,1136.22,1144.98,4.38959E9,0.11,1150.7,1161.2,1143.0,1150.7,177.0,0.11,10606.4,10619.4,10554.33,10618.19,1.7271E8
2010-01-11,1145.96,1149.74,1142.02,1146.98,4.25578E9,0.11,1128.9,1157.2,1127.2,1128.9,51.0,0.11,10620.31,10676.23,10591.59,10663.99,1.8205E8
2010-01-12,1143.81,1143.81,1131.77,1136.22,4.71616E9,0.11,1136.4,1136.4,1121.0,1136.4,58.0,0.11,10662.86,10663.08,10568.84,10627.26,2.5605E8
2010-01-13,1137.31,1148.4,1133.18,1145.68,4.17036E9,0.11,1137.0,1145.9,1132.8,1142.6,81.0,0.11,10628.09,10709.26,10614.49,10680.77,2.0281E8
2010-01-14,1145.68,1150.41,1143.8,1148.46,3.9152E9,0.11,1132.8,1133.4,1127.2,1130.1,50.0,0.11,10680.16,10723.77,10666.86,10710.55,2.0132E8
2010-01-15,1147.72,1147.77,1131.39,1136.03,4.75873E9,0.12,1139.7,1139.7,1130.5,1139.7,22.0,0.12,10706.99,10709.94,10561.06,10609.65,3.6293E8
2010-01-19,1136.03,1150.45,1135.77,1150.23,4.72483E9,0.13,1123.3,1133.0,1109.8,1112.3,28.0,0.13,10608.37,10729.89,10591.97,10725.43,1.9215E8
2010-01-20,1147.95,1147.95,1129.25,1138.04,4.81056E9,0.13,1102.7,1107.5,1090.2,1102.7,99.0,0.13,10719.69,10719.92,10517.3,10603.15,2.0327E8
2010-01-21,1138.68,1141.58,1114.84,1116.48,6.87429E9,0.12,1089.2,1095.4,1083.0,1089.2,58.0,0.12,10603.91,10614.94,10374.69,10389.88,3.0429E8
2010-01-22,1115.49,1115.49,1090.18,1091.76,6.20865E9,0.11,1095.2,1095.2,1095.2,1095.2,8.0,0.11,10389.58,10389.58,10157.64,10172.98,3.2362E8
2010-01-25,1092.4,1102.97,1092.4,1096.78,4.48139E9,0.12,1097.9,1097.9,1097.9,1097.9,4.0,0.12,10175.1,10256.87,10171.77,10196.86,2.1533E8
2010-01-26,1095.8,1103.69,1089.86,1092.17,4.73191E9,0.12,1084.4,1084.4,1084.4,1084.4,206694.0,0.12,10195.35,10285.13,10155.6,10194.29,2.173E8
2010-01-27,1091.94,1099.51,1083.11,1097.5,5.31912E9,0.12,1087.8,1095.7,1073.2,1083.6,101168.0,0.12,10194.29,10255.06,10104.36,10236.16,2.6217E8
2010-01-28,1096.93,1100.22,1078.46,1084.53,5.4524E9,0.12,1085.0,1090.8,1074.5,1083.0,11456.0,0.12,10236.92,10258.83,10055.08,10120.46,2.4005E8
2010-01-29,1087.61,1096.45,1071.59,1073.87,5.41285E9,0.12,1081.0,1107.3,1076.8,1104.3,2452.0,0.12,10122.04,10239.34,10043.75,10067.33,3.169E8
2010-02-01,1073.89,1089.38,1073.89,1089.19,4.07761E9,0.14,1117.4,1118.5,1100.2,1117.4,3326.0,0.14,10068.99,10190.89,10068.91,10185.53,1.9843E8
2010-02-02,1090.05,1104.73,1087.96,1103.32,4.74954E9,0.14,1115.8,1124.9,1108.6,1111.4,853.0,0.14,10186.13,10314.84,10173.59,10296.85,2.3714E8
2010-02-03,1100.67,1102.72,1093.97,1097.28,4.28545E9,0.13,1110.0,1110.7,1059.0,1062.4,1426.0,0.13,10291.73,10307.2,10231.93,10270.55,1.9894E8
2010-02-04,1097.25,1097.25,1062.78,1063.11,5.85969E9,0.14,1052.2,1068.5,1045.2,1052.2,1956.0,0.14,10273.12,10273.12,9998.03,10002.18,3.0424E8
2010-02-05,1064.12,1067.13,1044.5,1066.19,6.4389E9,0.13,1065.7,1073.4,1061.6,1065.7,549.0,0.13,10003.69,10031.96,9835.09,10012.23,3.0832E8
2010-02-08,1065.51,1071.2,1056.51,1056.74,4.08982E9,0.13,1076.7,1082.0,1063.1,1076.7,387.0,0.13,10005.43,10028.56,9904.09,9908.39,2.1627E8
2010-02-09,1060.06,1079.28,1060.06,1070.52,5.11426E9,0.13,1075.8,1081.1,1063.3,1075.8,640.0,0.13,9910.28,10139.43,9910.06,10058.64,2.3621E8
2010-02-10,1069.68,1073.67,1059.34,1068.13,4.25145E9,0.12,1076.8,1097.1,1075.6,1094.2,1491.0,0.12,10055.46,10085.54,9962.96,10038.38,1.786E8
2010-02-11,1067.1,1080.04,1060.59,1078.47,4.40087E9,0.12,1089.5,1092.0,1079.8,1089.5,197.0,0.12,10037.85,10161.57,9976.71,10144.19,1.9447E8
2010-02-12,1075.95,1077.81,1062.97,1075.51,4.16068E9,0.12,1119.3,1120.4,1092.4,1119.3,928.0,0.12,10137.23,10137.39,9983.82,10099.14,2.9651E8
2010-02-16,1079.13,1095.67,1079.13,1094.87,4.08077E9,0.13,1119.5,1127.0,1108.5,1119.5,1083.0,0.13,10100.81,10279.54,10100.81,10268.81,2.349E8
2010-02-17,1096.14,1101.03,1094.72,1099.51,4.25923E9,0.12,1118.0,1123.7,1100.8,1118.0,989.0,0.12,10261.48,10320.13,10261.48,10309.24,1.9327E8
2010-02-18,1099.03,1108.24,1097.48,1106.75,3.87862E9,0.12,1121.3,1126.2,1099.7,1121.3,137.0,0.12,10309.39,10406.58,10294.51,10392.9,1.8531E8
